State,  Time, Number_of _Trial
0 0 0 0 0 0 0 0  1 -0  0  0  0  1  0  0	0	0
-0.000199974   -0.0152987      -0.0002      -0.0153  0.000398666       0.0415       0.0004       0.0415     0.9998 -0.0199987          0          0  0.0199987     0.9998          0          0	0.02	12
-0.000399888  -0.00448934      -0.0004      -0.0044   0.00138934    0.0570001       0.0014       0.0569     0.9992 -0.0399893          0          0  0.0399893     0.9992          0          0	0.04	6
-0.000399411   0.00643599      -0.0004       0.0066     0.002964    0.0988005        0.003       0.0983  0.998201 -0.059964         0         0  0.059964  0.998201         0         0	0.06	5
-0.000198245    0.0173853      -0.0002       0.0176   0.00531469     0.140802       0.0054       0.1395   0.996802 -0.0799147          0          0  0.0799147   0.996802          0          0	0.08	4
4.23193e-06  0.00216658           0      0.0024  0.00853342    0.183004      0.0086      0.1804   0.995004 -0.0998334          0          0  0.0998334   0.995004          0          0	0.1	3
-9.13143e-05   -0.0131122      -0.0001      -0.0129    0.0126122     0.225409       0.0126       0.2208  0.992809 -0.119712         0         0  0.119712  0.992809         0         0	0.12	3
-0.000283957   -0.0022431      -0.0002       -0.002    0.0170431     0.215616       0.0169       0.2081  0.990216 -0.139543         0         0  0.139543  0.990216         0         0	0.14	2
-0.000172734    0.0086818      -0.0001       0.0089    0.0212182     0.205727       0.0209       0.1945  0.987227 -0.159318         0         0  0.159318  0.987227         0         0	0.16	2
0.000143707   0.0196704      0.0002      0.0198   0.0252296    0.195744      0.0246      0.1801 0.983844 -0.17903        0        0  0.17903 0.983844        0        0	0.18	2
0.000366628   0.0044307      0.0004      0.0045   0.0295693    0.238167      0.0286      0.2173  0.980067 -0.198669         0         0  0.198669  0.980067         0         0	0.2	3
0.000597477   0.0153704      0.0006      0.0153   0.0345296    0.254597      0.0331      0.2277 0.975897 -0.21823        0        0  0.21823 0.975897        0        0	0.22	1
0.000738025  9.7394e-05      0.0008     -0.0001   0.0400026    0.297238       0.038      0.2634  0.971338 -0.237703         0         0  0.237703  0.971338         0         0	0.24	3
0.000890017   0.0110195      0.0009      0.0106   0.0460805     0.31389      0.0434       0.272   0.96639 -0.257081         0         0  0.257081   0.96639         0         0	0.26	1
0.000955462 -0.00425562       0.001     -0.0049   0.0527556    0.356755      0.0492      0.3058  0.961055 -0.276356         0         0  0.276356  0.961055         0         0	0.28	3
0.000936508  0.00657982       0.001      0.0058   0.0600202    0.373637      0.0554      0.3124 0.955337 -0.29552        0        0  0.29552 0.955337        0        0	0.3	1
0.00113547  0.0175335     0.0012     0.0165  0.0673666   0.364235     0.0614     0.2916  0.949235 -0.314567         0         0  0.314567  0.949235         0         0	0.32	2
0.00155473  0.0285129     0.0016     0.0272  0.0745871   0.354755      0.067     0.2695  0.942755 -0.333487         0         0  0.333487  0.942755         0         0	0.34	2
0.00219685  0.0395257     0.0023     0.0379  0.0815742   0.345197     0.0722     0.2463  0.935897 -0.352274         0         0  0.352274  0.935897         0         0	0.36	2
0.00286466  0.0243795     0.0029     0.0222  0.0889205   0.387965     0.0774     0.2744 0.928665 -0.37092        0        0  0.37092 0.928665        0        0	0.38	2
 0.003461 0.0353816    0.0034    0.0326 0.0968184  0.404661    0.0829    0.2753  0.921061 -0.389418         0         0  0.389418  0.921061         0         0	0.4	1
0.00398892  0.0202395     0.0039     0.0167   0.105361   0.447589     0.0887     0.3014  0.913089 -0.407761         0         0  0.407761  0.913089         0         0	0.42	2
0.00455171  0.0312605     0.0043     0.0269    0.11424   0.438152     0.0945      0.274 0.904752 -0.42594        0        0  0.42594 0.904752        0        0	0.44	3
0.00525248  0.0422518     0.0049      0.037   0.123148   0.454753        0.1     0.2716  0.896052 -0.443948         0         0  0.443948  0.896052         0         0	0.46	1
0.00619495  0.0533208     0.0057      0.047   0.132379   0.471395     0.1054     0.2681  0.886995 -0.461779         0         0  0.461779  0.886995         0         0	0.48	1
0.00738257  0.0644744     0.0067     0.0569   0.141726   0.461783     0.1105     0.2373  0.877583 -0.479426         0         0  0.479426  0.877583         0         0	0.5	3
0.00881916  0.0756198     0.0079     0.0666    0.15108   0.478219     0.1152     0.2316 0.867819 -0.49688        0        0  0.49688 0.867819        0        0	0.52	1
0.0102087  0.060664    0.0091    0.0499  0.161036  0.520909      0.12    0.2512  0.857709 -0.514136         0         0  0.514136  0.857709         0         0	0.54	2
0.0115551 0.0718138    0.0102    0.0592  0.171586  0.537455     0.125    0.2437  0.847255 -0.531186         0         0  0.531186  0.847255         0         0	0.56	2
0.0130627  0.082976    0.0115    0.0683  0.182524  0.553963    0.1298    0.2352  0.836463 -0.548024         0         0  0.548024  0.836463         0         0	0.58	1
0.0145357 0.0679576    0.0127    0.0509  0.194042  0.596636    0.1347    0.2519  0.825336 -0.564642         0         0  0.564642  0.825336         0         0	0.6	2
0.0157785 0.0528648    0.0135    0.0332  0.206435  0.639378    0.1399    0.2677  0.813878 -0.581035         0         0  0.581035  0.813878         0         0	0.62	2
0.0169958 0.0639046    0.0142    0.0415  0.219395  0.655996    0.1451    0.2563  0.802096 -0.597195         0         0  0.597195  0.802096         0         0	0.64	1
0.0183923 0.0749832    0.0151    0.0497  0.232417  0.646292    0.1498    0.2177  0.789992 -0.613117         0         0  0.613117  0.789992         0         0	0.66	3
0.0199728  0.086107    0.0162    0.0578  0.245493  0.662673     0.154    0.2042  0.777573 -0.628793         0         0  0.628793  0.777573         0         0	0.68	1
0.0215423 0.0710824    0.0172    0.0395  0.259218  0.705142    0.1582    0.2161  0.764842 -0.644218         0         0  0.644218  0.764842         0         0	0.7	1
0.0228059 0.0559154    0.0178    0.0209  0.273785  0.747706    0.1626    0.2272  0.751806 -0.659385         0         0  0.659385  0.751806         0         0	0.72	1
0.0237687 0.0407122     0.018    0.0022  0.289188  0.790269    0.1672    0.2375  0.738469 -0.674288         0         0  0.674288  0.738469         0         0	0.74	2
0.0247361 0.0515786    0.0181    0.0096  0.305121  0.806736    0.1718    0.2207  0.724836 -0.688921         0         0  0.688921  0.724836         0         0	0.76	1
0.0259137 0.0625207    0.0184     0.017  0.321379  0.823114     0.176    0.2029  0.710914 -0.703279         0         0  0.703279  0.710914         0         0	0.78	1
0.0273069 0.0735441    0.0188    0.0243  0.337956  0.839407    0.1799    0.1842  0.696707 -0.717356         0         0  0.717356  0.696707         0         0	0.8	1
0.0286214 0.0583543    0.0191    0.0054  0.354946  0.855521    0.1834    0.1647  0.682221 -0.731146         0         0  0.731146  0.682221         0         0	0.82	3
0.029663 0.043057    0.019  -0.0137 0.372443 0.897763   0.1868   0.1707  0.667463 -0.744643         0         0  0.744643  0.667463         0         0	0.84	1
0.0306377 0.0538576    0.0188   -0.0066  0.390542  0.913838      0.19    0.1498  0.652438 -0.757842         0         0  0.757842  0.652438         0         0	0.86	1
0.0318514 0.0647613    0.0187    0.0006  0.408939  0.929851    0.1928    0.1282  0.637151 -0.770739         0         0  0.770739  0.637151         0         0	0.88	1
0.0330102 0.0494733    0.0185   -0.0184  0.427927   0.97191    0.1954    0.1322   0.62161 -0.783327         0         0  0.783327   0.62161         0         0	0.9	1
0.0341204 0.0602986    0.0182   -0.0112  0.447501   0.98782    0.1978    0.1095   0.60582 -0.795601         0         0  0.795601   0.60582         0         0	0.92	1
0.0354883 0.0764421    0.0181    0.0014  0.467358  0.998288    0.1997    0.0809  0.589788 -0.807558         0         0  0.807558  0.589788         0         0	0.94	1
0.0372203 0.0927086    0.0183    0.0141  0.487391   1.00862     0.201    0.0519   0.57352 -0.819191         0         0  0.819191   0.57352         0         0	0.96	1
0.0392229  0.109003    0.0187    0.0268  0.507697   1.01872    0.2017    0.0225  0.557023 -0.830497         0         0  0.830497  0.557023         0         0	0.98	1
0.0413027 0.0991292    0.0191    0.0132  0.528471    1.0549    0.2021    0.0191  0.540303 -0.841471         0         0  0.841471  0.540303         0         0	1	1
0.0434663  0.115392    0.0195    0.0257  0.549708   1.06487    0.2022   -0.0106  0.523366 -0.852108         0         0  0.852108  0.523366         0         0	1.02	2
0.0459206  0.131796    0.0201    0.0382  0.571104   1.07472    0.2017   -0.0404  0.506221 -0.862404         0         0  0.862404  0.506221         0         0	1.04	1
0.0486724  0.148245     0.021    0.0506  0.592955   1.11067    0.2009    -0.044  0.488872 -0.872355         0         0  0.872355  0.488872         0         0	1.06	1
0.0515288  0.138542    0.0219    0.0367  0.615558   1.14653       0.2   -0.0474  0.471329 -0.881958         0         0  0.881958  0.471329         0         0	1.08	1
0.0544966  0.154993    0.0228    0.0487  0.638807    1.1824     0.199   -0.0507  0.453597 -0.891207         0         0  0.891207  0.453597         0         0	1.1	3
0.0577829    0.1715    0.0239    0.0606    0.6626   1.19198    0.1977     -0.08 0.435683  -0.9001        0        0   0.9001 0.435683        0        0	1.12	1
0.061395 0.188067   0.0252   0.0723 0.686533  1.20149   0.1958  -0.1091  0.417595 -0.908633         0         0  0.908633  0.417595         0         0	1.14	1
 0.06484 0.152197   0.0262   0.0314 0.710403  1.18464   0.1931  -0.1642   0.39934 -0.916803         0         0  0.916803   0.39934         0         0	1.16	2
0.0680253  0.168594    0.0269    0.0426  0.733906   1.16753    0.1893   -0.2189  0.380925 -0.924606         0         0  0.924606  0.380925         0         0	1.18	3
0.0710583  0.132561    0.0273    0.0013  0.757339   1.17636    0.1846   -0.2468  0.362358 -0.932039         0         0  0.932039  0.362358         0         0	1.2	1
0.0736463  0.122601    0.0272    -0.014  0.780699   1.15875    0.1791   -0.3001  0.343646 -0.939099         0         0  0.939099  0.343646         0         0	1.22	1
0.0759968  0.112516    0.0268   -0.0294  0.803684    1.1409    0.1726   -0.3524  0.324797 -0.945784         0         0  0.945784  0.324797         0         0	1.24	1
0.0784175   0.12861    0.0263   -0.0185   0.82629   1.12282     0.165   -0.4036 0.305817 -0.95209        0        0  0.95209 0.305817        0        0	1.26	3
