State,  Time, Number_of _Trial
0 0 0 0 0 1 0 0 0 0	0	0
0.000321031       0.034      0.0003      0.0339           0 0.999921        0        0        0        0	0.02	9
0.00108427     0.0386      0.001     0.0384          0 0.999684        0        0        0        0	0.04	8
0.00218946     0.0728     0.0021     0.0723          0 0.999289        0        0        0        0	0.06	9
0.00403702     0.1071     0.0039      0.106          0 0.998737        0        0        0        0	0.08	9
0.00632674     0.1219     0.0062     0.1198     0.0001 0.998027        0        0        0        0	0.1	7
0.00915891     0.1565     0.0089     0.1529     0.0002 0.997159        0        0        0        0	0.12	9
0.0124336    0.1716    0.0121    0.1659    0.0004 0.996134        0        0        0        0	0.14	7
0.016251   0.2064   0.0157    0.198   0.0006 0.994951        0        0        0        0	0.16	5
0.0205114    0.2217    0.0198    0.2098    0.0009 0.993611        0        0        0        0	0.18	7
0.0252147    0.2469    0.0242    0.2307    0.0013 0.992115        0        0        0        0	0.2	6
0.0303614    0.2722     0.029    0.2508    0.0018 0.990461        0        0        0        0	0.22	6
0.0360518    0.2976    0.0342      0.27    0.0024 0.988652        0        0        0        0	0.24	6
0.0423859    0.3329    0.0399     0.298    0.0031 0.986686        0        0        0        0	0.26	9
0.0491644    0.3487    0.0459    0.3053    0.0039 0.984564        0        0        0        0	0.28	7
0.0563872    0.3695    0.0521    0.3165    0.0049 0.982287        0        0        0        0	0.3	7
0.0641551      0.41    0.0587    0.3461     0.006 0.979855        0        0        0        0	0.32	9
0.0726681    0.4408    0.0658    0.3647    0.0073 0.977268        0        0        0        0	0.34	10
0.0818269    0.4717    0.0733     0.382    0.0088 0.974527        0        0        0        0	0.36	10
0.0916317    0.5125    0.0812    0.4077    0.0104 0.971632        0        0        0        0	0.38	9
0.101983   0.5239   0.0893   0.4024   0.0122 0.968583        0        0        0        0	0.4	8
0.112582   0.5353   0.0973   0.3955   0.0142 0.965382        0        0        0        0	0.42	8
0.123728   0.5762   0.1054   0.4165   0.0165 0.962028        0        0        0        0	0.44	9
0.135422   0.5975   0.1137   0.4163    0.019 0.958522        0        0        0        0	0.46	7
0.147765   0.6385   0.1222   0.4341   0.0217 0.954865        0        0        0        0	0.48	5
0.160757   0.6599   0.1309   0.4307   0.0247 0.951056        0        0        0        0	0.5	7
0.174098   0.6714   0.1394   0.4157   0.0279 0.947098        0        0        0        0	0.52	8
0.187791   0.7025   0.1477   0.4186   0.0314 0.942991        0        0        0        0	0.54	6
0.202134   0.7336   0.1561   0.4199   0.0352 0.938734        0        0        0        0	0.56	6
0.217029   0.7549   0.1644   0.4097   0.0392 0.934329        0        0        0        0	0.58	7
0.232576   0.7958   0.1727   0.4175   0.0435 0.929776        0        0        0        0	0.6	5
0.248677   0.8171   0.1809   0.4041   0.0482 0.925077        0        0        0        0	0.62	7
0.265432    0.858    0.189   0.4087   0.0532 0.920232        0        0        0        0	0.64	9
0.282941   0.8891   0.1971   0.4019   0.0585 0.915241        0        0        0        0	0.66	6
0.301106     0.93   0.2052   0.4033   0.0642 0.910106        0        0        0        0	0.68	9
0.320127   0.9709   0.2133   0.4031   0.0702 0.904827        0        0        0        0	0.7	9
0.339805   0.9921   0.2212   0.3817   0.0766 0.899405        0        0        0        0	0.72	7
0.359841   1.0132   0.2286   0.3586   0.0834 0.893841        0        0        0        0	0.74	7
0.380437    1.044   0.2356   0.3438   0.0906 0.888137        0        0        0        0	0.76	6
0.401491   1.0649   0.2422   0.3178   0.0982 0.882291        0        0        0        0	0.78	7
0.423207   1.1053   0.2485   0.3101   0.1062 0.876307        0        0        0        0	0.8	5
0.445684   1.1457   0.2546   0.3011   0.1147 0.870184        0        0        0        0	0.82	5
0.468724   1.1565   0.2602   0.2614   0.1236 0.863923        0        0        0        0	0.84	4
0.491627   1.1376   0.2647    0.191    0.133 0.857527        0        0        0        0	0.86	6
0.514295   1.1282   0.2679   0.1293   0.1428 0.850995        0        0        0        0	0.88	5
0.536628   1.1086   0.2698    0.057   0.1531 0.844328        0        0        0        0	0.9	6
0.558728   1.0985   0.2703  -0.0061   0.1638 0.837528        0        0        0        0	0.92	5
0.580596   1.0881   0.2695  -0.0695    0.175 0.830596        0        0        0        0	0.94	5
0.602033   1.0577   0.2673  -0.1526   0.1866 0.823533        0        0        0        0	0.96	7
0.623039   1.0466   0.2636  -0.2158   0.1986 0.816339        0        0        0        0	0.98	5
0.643717   1.0253   0.2586  -0.2883   0.2111 0.809017        0        0        0        0	1	6
0.663967   1.0037   0.2521  -0.3601    0.224 0.801567        0        0        0        0	1.02	6
0.683691   0.9719   0.2441  -0.4406   0.2373 0.793991        0        0        0        0	1.04	5
0.702789   0.9397   0.2345  -0.5198    0.251 0.786289        0        0        0        0	1.06	5
0.721162   0.8972   0.2232  -0.6072   0.2651 0.778462        0        0        0        0	1.08	6
0.738713   0.8543   0.2102  -0.6926   0.2795 0.770513        0        0        0        0	1.1	6
0.755343    0.811   0.1955  -0.7757   0.2943 0.762443        0        0        0        0	1.12	5
0.771152   0.7673   0.1792  -0.8562   0.3094 0.754252        0        0        0        0	1.14	4
0.786041   0.7232   0.1613  -0.9337   0.3248 0.745941        0        0        0        0	1.16	5
0.800113   0.6885    0.142  -0.9981   0.3405 0.737513        0        0        0        0	1.18	6
0.813469   0.6437   0.1213  -1.0688   0.3565 0.728969        0        0        0        0	1.2	5
0.826009   0.6084   0.0993  -1.1258   0.3728 0.720309        0        0        0        0	1.22	6
0.837836   0.5728   0.0762  -1.1786   0.3893 0.711536        0        0        0        0	1.24	6
0.84885  0.5271   0.052 -1.2369  0.4061 0.70265       0       0       0       0	1.26	5
0.859154   0.5008   0.0269  -1.2709   0.4231 0.693654        0        0        0        0	1.28	7
0.869047   0.4861   0.0013  -1.2884   0.4403 0.684547        0        0        0        0	1.3	8
0.878333   0.4418  -0.0249  -1.3304   0.4577 0.675333        0        0        0        0	1.32	5
0.886712   0.3973  -0.0519  -1.3674   0.4753 0.666012        0        0        0        0	1.34	4
0.894386   0.3723  -0.0794  -1.3795    0.493 0.656586        0        0        0        0	1.36	2
0.901456   0.3374  -0.1072  -1.3961   0.5109 0.647056        0        0        0        0	1.38	6
0.907724   0.2926  -0.1353  -1.4171   0.5289 0.637424        0        0        0        0	1.4	5
0.913292   0.2674  -0.1636   -1.413   0.5471 0.627692        0        0        0        0	1.42	7
0.91836  0.2422 -0.1918 -1.4033  0.5654 0.61786       0       0       0       0	1.44	7
0.922731   0.1974  -0.2199  -1.4077   0.5838 0.607931        0        0        0        0	1.46	5
0.926205   0.1526  -0.2481  -1.4066   0.6023 0.597905        0        0        0        0	1.48	5
0.928986   0.1275   -0.276  -1.3803   0.6208 0.587786        0        0        0        0	1.5	7
0.931373   0.1124  -0.3032  -1.3386   0.6394 0.577573        0        0        0        0	1.52	8
0.933469   0.0975  -0.3295  -1.2914    0.658 0.567269        0        0        0        0	1.54	8
0.935176    0.073  -0.3549  -1.2487   0.6767 0.556876        0        0        0        0	1.56	7
0.936495   0.0586  -0.3793  -1.1911   0.6954 0.546395        0        0        0        0	1.58	8
0.937527   0.0445  -0.4025  -1.1285   0.7141 0.535827        0        0        0        0	1.6	8
0.938175   0.0209  -0.4245   -1.071   0.7329 0.525175        0        0        0        0	1.62	7
0.93834 -0.0024 -0.4453  -1.009  0.7517 0.51444       0       0       0       0	1.64	7
0.938024  -0.0254  -0.4648  -0.9427   0.7705 0.503624        0        0        0        0	1.66	7
0.937428  -0.0382  -0.4829  -0.8625   0.7893 0.492728        0        0        0        0	1.68	8
0.936554  -0.0506  -0.4993  -0.7785    0.808 0.481754        0        0        0        0	1.7	8
0.935404  -0.0626   -0.514   -0.691   0.8267 0.470704        0        0        0        0	1.72	8
0.93408 -0.0741 -0.5269 -0.6004  0.8454 0.45958       0       0       0       0	1.74	8
0.932184  -0.1147  -0.5383  -0.5365   0.8641 0.448384        0        0        0        0	1.76	5
0.929716  -0.1353  -0.5482  -0.4505   0.8827 0.437116        0        0        0        0	1.78	7
0.92688 -0.1456 -0.5562 -0.3524  0.9013 0.42578       0       0       0       0	1.8	8
0.923876  -0.1554  -0.5623  -0.2525   0.9198 0.414376        0        0        0        0	1.82	8
0.920707  -0.1647  -0.5663  -0.1511   0.9383 0.402907        0        0        0        0	1.84	8
0.917274  -0.1833  -0.5684  -0.0584   0.9567 0.391374        0        0        0        0	1.86	7
0.91328 -0.2113 -0.5687  0.0252   0.975 0.37978       0       0       0       0	1.88	6
0.908825  -0.2389  -0.5674   0.1091   0.9933 0.368125        0        0        0        0	1.9	6
0.904013  -0.2464  -0.5642   0.2126   1.0115 0.356413        0        0        0        0	1.92	8
0.898744  -0.2829  -0.5592   0.2863   1.0296 0.344644        0        0        0        0	1.94	5
0.89272  -0.319 -0.5527  0.3593  1.0476 0.33282       0       0       0       0	1.96	5
0.885944  -0.3548  -0.5448   0.4312   1.0655 0.320944        0        0        0        0	1.98	5
0.878818  -0.3607  -0.5352   0.5313   1.0832 0.309018        0        0        0        0	2	8
0.871542  -0.3661  -0.5236   0.6298   1.1008 0.297042        0        0        0        0	2.02	3
0.86392 -0.4005 -0.5103  0.6968  1.1182 0.28502       0       0       0       0	2.04	4
0.855553  -0.4346  -0.4957   0.7614   1.1355 0.272953        0        0        0        0	2.06	5
0.846542  -0.4684  -0.4798   0.8233   1.1526 0.260842        0        0        0        0	2.08	5
0.836791  -0.5019  -0.4627   0.8823   1.1695 0.248691        0        0        0        0	2.1	5
 0.8264 -0.5351 -0.4445  0.9381  1.1862 0.2365      0      0      0      0	2.12	5
0.815372   -0.568  -0.4252   0.9905   1.2027 0.224272        0        0        0        0	2.14	5
0.803908   -0.581  -0.4047   1.0589    1.219 0.212008        0        0        0        0	2.16	7
0.792011  -0.6133  -0.3831   1.1039   1.2351 0.199711        0        0        0        0	2.18	5
0.779482  -0.6356  -0.3605   1.1546   1.2509 0.187382        0        0        0        0	2.2	6
0.766624  -0.6478  -0.3368   1.2108   1.2665 0.175024        0        0        0        0	2.22	7
0.753438  -0.6696  -0.3122   1.2527   1.2818 0.162638        0        0        0        0	2.24	6
0.740026  -0.6715  -0.2866   1.3096   1.2969 0.150226        0        0        0        0	2.26	8
